trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.005, 'e': 0.5827482523739896}",25,0,-103.43012996731203,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.005, 'e': 0.5798417833398464}",20,10,4.682023539094907,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.005, 'e': 0.5769498103804866}",30,0,-125.32982516203401,"{0: 22, 1: 0, 2: 5, 3: 1, 4: 2}",0
111,False,"{'a': 0.005, 'e': 0.574072261196436}",25,0,-49.18810178202356,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.005, 'e': 0.5712090638488149}",25,0,-40.245080853070114,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.005, 'e': 0.5683601467575404}",25,8,-75.57525583103663,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.005, 'e': 0.5655254386995371}",25,0,-34.087612151983826,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.005, 'e': 0.5627048688069557}",25,11,-158.623877750502,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 3}",1
116,False,"{'a': 0.005, 'e': 0.559898366565402}",25,11,-17.261850731311235,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
117,False,"{'a': 0.005, 'e': 0.5571058618121739}",25,14,6.026519525128501,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.005, 'e': 0.5543272847345071}",30,19,3.4656886999705856,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.005, 'e': 0.5515625658678298}",25,12,-32.3142348296022,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
120,False,"{'a': 0.005, 'e': 0.5488116360940265}",30,0,-121.20570993054083,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
